"Fiscal Year","Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","Communication with Nurses Floor","Communication with Nurses Achievement Threshold","Communication with Nurses Benchmark","Communication with Nurses Baseline Rate","Communication with Nurses Performance Rate","Communication with Nurses Achievement Points","Communication with Nurses Improvement Points","Communication with Nurses Dimension Score","Communication with Doctors Floor","Communication with Doctors Achievement Threshold","Communication with Doctors Benchmark","Communication with Doctors Baseline Rate","Communication with Doctors Performance Rate","Communication with Doctors Achievement Points","Communication with Doctors Improvement Points","Communication with Doctors Dimension Score","Responsiveness of Hospital Staff Floor","Responsiveness of Hospital Staff Achievement Threshold","Responsiveness of Hospital Staff Benchmark","Responsiveness of Hospital Staff Baseline Rate","Responsiveness of Hospital Staff Performance Rate","Responsiveness of Hospital Staff Achievement Points","Responsiveness of Hospital Staff Improvement Points","Responsiveness of Hospital Staff Dimension Score","Care Transition Floor","Care Transition Achievement Threshold","Care Transition Benchmark","Care Transition Baseline Rate","Care Transition Performance Rate","Care Transition Achievement Points","Care Transition Improvement Points","Care Transition Dimension Score","Communication About Medicines Floor","Communication About Medicines Achievement Threshold","Communication About Medicines Benchmark","Communication About Medicines Baseline Rate","Communication About Medicines Performance Rate","Communication About Medicines Achievement Points","Communication About Medicines Improvement Points","Communication About Medicines Dimension Score","Cleanliness and Quietness of Hospital Environment Floor","Cleanliness and Quietness of Hospital Environment Achievement Threshold","Cleanliness and Quietness of Hospital Environment Benchmark","Cleanliness and Quietness of Hospital Environment Baseline Rate","Cleanliness and Quietness of Hospital Environment Performance Rate","Cleanliness and Quietness of Hospital Environment Achievement Points","Cleanliness and Quietness of Hospital Environment Improvement Points","Cleanliness and Quietness of Hospital Environment Dimension Score","Discharge Information Floor","Discharge Information Achievement Threshold","Discharge Information Benchmark","Discharge Information Baseline Rate","Discharge Information Performance Rate","Discharge Information Achievement Points","Discharge Information Improvement Points","Discharge Information Dimension Score","Overall Rating of Hospital Floor","Overall Rating of Hospital Achievement Threshold","Overall Rating of Hospital Benchmark","Overall Rating of Hospital Baseline Rate","Overall Rating of Hospital Performance Rate","Overall Rating of Hospital Achievement Points","Overall Rating of Hospital Improvement Points","Overall Rating of Hospital Dimension Score","HCAHPS Base Score","HCAHPS Consistency Score"
"2021","140158",MERCY HOSPITAL AND MEDICAL CENTER,"2525 S MICHIGAN AVE",CHICAGO,IL,"60616",Cook,"42.06","79.06","87.36","73.56","72.3800","0 out of 10","0 out of 9","0 out of 10","41.99","79.91","88.10","75.76","75.7663","0 out of 10","0 out of 9","0 out of 10","33.89","65.77","81.00","55.93","56.4497","0 out of 10","0 out of 9","0 out of 10","6.53","51.87","63.32","43.92","43.3939","0 out of 10","0 out of 9","0 out of 10","33.19","63.83","74.75","56.50","55.6866","0 out of 10","0 out of 9","0 out of 10","30.60","65.61","79.58","59.76","58.3097","0 out of 10","0 out of 9","0 out of 10","66.94","87.38","92.17","81.51","80.8353","0 out of 10","0 out of 9","0 out of 10","34.70","71.80","85.67","58.34","57.1605","0 out of 10","0 out of 9","0 out of 10","0","12"
"2021","140160",FHN MEMORIAL HOSPITAL,"1045 WEST STEPHENSON STREET",FREEPORT,IL,"61032",Stephenson,"42.06","79.06","87.36","80.36","79.7982","1 out of 10","0 out of 9","1 out of 10","41.99","79.91","88.10","77.22","81.8473","3 out of 10","4 out of 9","4 out of 10","33.89","65.77","81.00","66.85","68.3113","2 out of 10","1 out of 9","2 out of 10","6.53","51.87","63.32","47.48","50.6680","0 out of 10","2 out of 9","2 out of 10","33.19","63.83","74.75","63.20","65.5496","2 out of 10","2 out of 9","2 out of 10","30.60","65.61","79.58","65.62","66.3404","1 out of 10","0 out of 9","1 out of 10","66.94","87.38","92.17","87.35","88.0987","2 out of 10","1 out of 9","2 out of 10","34.70","71.80","85.67","67.23","70.7313","0 out of 10","1 out of 9","1 out of 10","15","19"
"2021","140161",SAINT JAMES HOSPITAL,"2500 WEST REYNOLDS STREET",PONTIAC,IL,"61764",Livingston,"42.06","79.06","87.36","81.88","82.5732","4 out of 10","1 out of 9","4 out of 10","41.99","79.91","88.10","84.31","82.0610","3 out of 10","0 out of 9","3 out of 10","33.89","65.77","81.00","73.31","64.6857","0 out of 10","0 out of 9","0 out of 10","6.53","51.87","63.32","53.96","56.3206","4 out of 10","2 out of 9","4 out of 10","33.19","63.83","74.75","64.49","66.1591","2 out of 10","1 out of 9","2 out of 10","30.60","65.61","79.58","69.03","64.4499","0 out of 10","0 out of 9","0 out of 10","66.94","87.38","92.17","90.98","91.1862","8 out of 10","1 out of 9","8 out of 10","34.70","71.80","85.67","74.08","73.1831","1 out of 10","0 out of 9","1 out of 10","22","19"
"2021","140162",ST JOSEPH MEDICAL CENTER,"2200 E WASHINGTON",BLOOMINGTON,IL,"61701",McLean,"42.06","79.06","87.36","80.48","80.6459","2 out of 10","0 out of 9","2 out of 10","41.99","79.91","88.10","79.59","78.3779","0 out of 10","0 out of 9","0 out of 10","33.89","65.77","81.00","59.53","60.9256","0 out of 10","0 out of 9","0 out of 10","6.53","51.87","63.32","55.28","52.7779","1 out of 10","0 out of 9","1 out of 10","33.19","63.83","74.75","63.66","63.9117","1 out of 10","0 out of 9","1 out of 10","30.60","65.61","79.58","68.99","68.1583","2 out of 10","0 out of 9","2 out of 10","66.94","87.38","92.17","87.31","88.9996","4 out of 10","3 out of 9","4 out of 10","34.70","71.80","85.67","77.20","75.2627","3 out of 10","0 out of 9","3 out of 10","13","16"
"2021","140164",MEMORIAL HOSPITAL OF CARBONDALE,"405 W JACKSON",CARBONDALE,IL,"62901",Jackson,"42.06","79.06","87.36","79.12","81.0108","3 out of 10","2 out of 9","3 out of 10","41.99","79.91","88.10","83.69","81.1588","2 out of 10","0 out of 9","2 out of 10","33.89","65.77","81.00","67.66","68.8445","2 out of 10","0 out of 9","2 out of 10","6.53","51.87","63.32","50.51","51.9996","1 out of 10","1 out of 9","1 out of 10","33.19","63.83","74.75","63.16","66.7718","3 out of 10","3 out of 9","3 out of 10","30.60","65.61","79.58","65.38","67.0198","1 out of 10","1 out of 9","1 out of 10","66.94","87.38","92.17","85.85","88.7988","3 out of 10","4 out of 9","4 out of 10","34.70","71.80","85.67","70.77","75.7491","3 out of 10","3 out of 9","3 out of 10","19","20"
"2021","140166",ST MARYS HOSPITAL,"1800 E LAKE SHORE DR",DECATUR,IL,"62521",Macon,"42.06","79.06","87.36","77.95","79.2748","1 out of 10","1 out of 9","1 out of 10","41.99","79.91","88.10","76.96","76.3589","0 out of 10","0 out of 9","0 out of 10","33.89","65.77","81.00","62.00","68.7375","2 out of 10","3 out of 9","3 out of 10","6.53","51.87","63.32","50.16","53.3812","2 out of 10","2 out of 9","2 out of 10","33.19","63.83","74.75","61.43","62.3474","0 out of 10","0 out of 9","0 out of 10","30.60","65.61","79.58","68.17","65.7664","1 out of 10","0 out of 9","1 out of 10","66.94","87.38","92.17","88.85","85.8162","0 out of 10","0 out of 9","0 out of 10","34.70","71.80","85.67","73.44","72.5670","1 out of 10","0 out of 9","1 out of 10","8","18"
"2021","140172",FRANCISCAN HEALTH OLYMPIA & CHICAGO HEIGHTS,"20201 S CRAWFORD AVENUE",OLYMPIA FIELDS,IL,"60461",Cook,"42.06","79.06","87.36","74.27","74.2588","0 out of 10","0 out of 9","0 out of 10","41.99","79.91","88.10","79.11","73.9021","0 out of 10","0 out of 9","0 out of 10","33.89","65.77","81.00","53.80","55.3110","0 out of 10","0 out of 9","0 out of 10","6.53","51.87","63.32","46.51","44.0254","0 out of 10","0 out of 9","0 out of 10","33.19","63.83","74.75","55.79","52.5445","0 out of 10","0 out of 9","0 out of 10","30.60","65.61","79.58","60.21","57.4397","0 out of 10","0 out of 9","0 out of 10","66.94","87.38","92.17","83.27","84.6446","0 out of 10","1 out of 9","1 out of 10","34.70","71.80","85.67","60.35","57.9980","0 out of 10","0 out of 9","0 out of 10","1","12"
"2021","140174",PRESENCE MERCY MEDICAL CENTER,"1325 N HIGHLAND AVENUE",AURORA,IL,"60506",Kane,"42.06","79.06","87.36","77.85","81.9495","4 out of 10","4 out of 9","4 out of 10","41.99","79.91","88.10","79.39","81.0462","2 out of 10","1 out of 9","2 out of 10","33.89","65.77","81.00","58.37","61.4919","0 out of 10","1 out of 9","1 out of 10","6.53","51.87","63.32","54.44","53.4769","2 out of 10","0 out of 9","2 out of 10","33.19","63.83","74.75","59.42","64.9553","1 out of 10","3 out of 9","3 out of 10","30.60","65.61","79.58","66.32","68.4563","2 out of 10","1 out of 9","2 out of 10","66.94","87.38","92.17","87.76","86.9305","0 out of 10","0 out of 9","0 out of 10","34.70","71.80","85.67","70.46","68.2767","0 out of 10","0 out of 9","0 out of 10","14","17"
"2021","140179",LITTLE COMPANY OF MARY HOSPITAL,"2800 W 95TH ST",EVERGREEN PARK,IL,"60805",Cook,"42.06","79.06","87.36","81.09","80.9406","3 out of 10","0 out of 9","3 out of 10","41.99","79.91","88.10","82.48","76.5469","0 out of 10","0 out of 9","0 out of 10","33.89","65.77","81.00","67.90","64.6873","0 out of 10","0 out of 9","0 out of 10","6.53","51.87","63.32","51.13","48.5685","0 out of 10","0 out of 9","0 out of 10","33.19","63.83","74.75","60.74","58.9144","0 out of 10","0 out of 9","0 out of 10","30.60","65.61","79.58","70.25","67.4419","2 out of 10","0 out of 9","2 out of 10","66.94","87.38","92.17","83.82","82.8310","0 out of 10","0 out of 9","0 out of 10","34.70","71.80","85.67","72.15","69.6895","0 out of 10","0 out of 9","0 out of 10","5","15"
"2021","140180",PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER,"2233 W DIVISION ST",CHICAGO,IL,"60622",Cook,"42.06","79.06","87.36","78.99","79.6269","1 out of 10","0 out of 9","1 out of 10","41.99","79.91","88.10","81.53","81.7046","2 out of 10","0 out of 9","2 out of 10","33.89","65.77","81.00","67.78","63.0752","0 out of 10","0 out of 9","0 out of 10","6.53","51.87","63.32","59.35","55.5509","3 out of 10","0 out of 9","3 out of 10","33.19","63.83","74.75","62.15","64.3026","1 out of 10","1 out of 9","1 out of 10","30.60","65.61","79.58","66.96","66.4044","1 out of 10","0 out of 9","1 out of 10","66.94","87.38","92.17","89.70","86.5032","0 out of 10","0 out of 9","0 out of 10","34.70","71.80","85.67","72.01","68.7918","0 out of 10","0 out of 9","0 out of 10","8","18"
"2021","140181",SOUTH SHORE HOSPITAL,"8012 SOUTH CRANDON AVENUE",CHICAGO,IL,"60617",Cook,"42.06","79.06","87.36","70.32",Not Available,Not Available,Not Available,Not Available,"41.99","79.91","88.10","73.08",Not Available,Not Available,Not Available,Not Available,"33.89","65.77","81.00","57.63",Not Available,Not Available,Not Available,Not Available,"6.53","51.87","63.32","40.29",Not Available,Not Available,Not Available,Not Available,"33.19","63.83","74.75","56.64",Not Available,Not Available,Not Available,Not Available,"30.60","65.61","79.58","65.54",Not Available,Not Available,Not Available,Not Available,"66.94","87.38","92.17","74.61",Not Available,Not Available,Not Available,Not Available,"34.70","71.80","85.67","53.45",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"2021","140182",ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,"836 WEST WELLINGTON AVENUE",CHICAGO,IL,"60657",Cook,"42.06","79.06","87.36","80.69","79.5320","1 out of 10","0 out of 9","1 out of 10","41.99","79.91","88.10","79.59","78.6215","0 out of 10","0 out of 9","0 out of 10","33.89","65.77","81.00","70.70","69.6331","3 out of 10","0 out of 9","3 out of 10","6.53","51.87","63.32","54.22","54.4470","3 out of 10","0 out of 9","3 out of 10","33.19","63.83","74.75","65.04","62.2922","0 out of 10","0 out of 9","0 out of 10","30.60","65.61","79.58","66.95","64.2570","0 out of 10","0 out of 9","0 out of 10","66.94","87.38","92.17","87.24","87.4548","1 out of 10","0 out of 9","1 out of 10","34.70","71.80","85.67","73.46","72.2767","1 out of 10","0 out of 9","1 out of 10","9","18"
"2021","140184",HEARTLAND REGIONAL MEDICAL CENTER,"3333 W DEYOUNG",MARION,IL,"62959",Williamson,"42.06","79.06","87.36","78.53","74.8235","0 out of 10","0 out of 9","0 out of 10","41.99","79.91","88.10","75.98","74.2023","0 out of 10","0 out of 9","0 out of 10","33.89","65.77","81.00","72.40","67.0659","1 out of 10","0 out of 9","1 out of 10","6.53","51.87","63.32","51.37","45.4963","0 out of 10","0 out of 9","0 out of 10","33.19","63.83","74.75","62.77","56.9093","0 out of 10","0 out of 9","0 out of 10","30.60","65.61","79.58","67.61","65.9513","1 out of 10","0 out of 9","1 out of 10","66.94","87.38","92.17","84.69","80.1815","0 out of 10","0 out of 9","0 out of 10","34.70","71.80","85.67","71.30","60.8236","0 out of 10","0 out of 9","0 out of 10","2","12"
"2021","140185",MEMORIAL HOSPITAL,"4500 MEMORIAL DRIVE",BELLEVILLE,IL,"62226",Saint Clair,"42.06","79.06","87.36","81.98","79.3940","1 out of 10","0 out of 9","1 out of 10","41.99","79.91","88.10","82.00","79.1003","0 out of 10","0 out of 9","0 out of 10","33.89","65.77","81.00","70.00","68.2860","2 out of 10","0 out of 9","2 out of 10","6.53","51.87","63.32","55.23","55.6807","3 out of 10","0 out of 9","3 out of 10","33.19","63.83","74.75","67.31","66.1615","2 out of 10","0 out of 9","2 out of 10","30.60","65.61","79.58","69.89","66.9707","1 out of 10","0 out of 9","1 out of 10","66.94","87.38","92.17","90.35","88.3294","2 out of 10","0 out of 9","2 out of 10","34.70","71.80","85.67","75.45","70.6638","0 out of 10","0 out of 9","0 out of 10","11","19"
"2021","140186",RIVERSIDE MEDICAL CENTER,"350 N WALL ST",KANKAKEE,IL,"60901",Kankakee,"42.06","79.06","87.36","84.11","79.2599","1 out of 10","0 out of 9","1 out of 10","41.99","79.91","88.10","85.13","80.4516","1 out of 10","0 out of 9","1 out of 10","33.89","65.77","81.00","68.66","57.0439","0 out of 10","0 out of 9","0 out of 10","6.53","51.87","63.32","57.40","50.9054","0 out of 10","0 out of 9","0 out of 10","33.19","63.83","74.75","69.69","62.6191","0 out of 10","0 out of 9","0 out of 10","30.60","65.61","79.58","65.81","66.8543","1 out of 10","0 out of 9","1 out of 10","66.94","87.38","92.17","90.28","88.8571","3 out of 10","0 out of 9","3 out of 10","34.70","71.80","85.67","75.42","73.1078","1 out of 10","0 out of 9","1 out of 10","7","14"
"2021","140187",HSHS ST ELIZABETH'S HOSPITAL,ONE ST ELIZABETH BOULEVARD,O FALLON,IL,"62269",Saint Clair,"42.06","79.06","87.36","80.80","83.7225","6 out of 10","4 out of 9","6 out of 10","41.99","79.91","88.10","79.63","80.3182","1 out of 10","0 out of 9","1 out of 10","33.89","65.77","81.00","63.30","68.0524","2 out of 10","2 out of 9","2 out of 10","6.53","51.87","63.32","52.85","56.1089","4 out of 10","3 out of 9","4 out of 10","33.19","63.83","74.75","64.88","66.7882","3 out of 10","1 out of 9","3 out of 10","30.60","65.61","79.58","64.12","71.1202","4 out of 10","4 out of 9","4 out of 10","66.94","87.38","92.17","87.91","89.4496","4 out of 10","3 out of 9","4 out of 10","34.70","71.80","85.67","69.67","80.7898","6 out of 10","6 out of 9","6 out of 10","30","20"
"2021","140189",SARAH BUSH LINCOLN HEALTH CENTER,"1000 HEALTH CENTER DRIVE P O BOX 372",MATTOON,IL,"61938",Coles,"42.06","79.06","87.36","83.77","84.6061","7 out of 10","2 out of 9","7 out of 10","41.99","79.91","88.10","83.18","81.6145","2 out of 10","0 out of 9","2 out of 10","33.89","65.77","81.00","76.46","70.3979","3 out of 10","0 out of 9","3 out of 10","6.53","51.87","63.32","59.55","54.7349","3 out of 10","0 out of 9","3 out of 10","33.19","63.83","74.75","70.23","67.8209","4 out of 10","0 out of 9","4 out of 10","30.60","65.61","79.58","71.46","69.7778","3 out of 10","0 out of 9","3 out of 10","66.94","87.38","92.17","92.93","91.4442","8 out of 10","0 out of 9","8 out of 10","34.70","71.80","85.67","81.59","78.0452","5 out of 10","0 out of 9","5 out of 10","35","20"
"2021","140191",INGALLS MEMORIAL HOSPITAL,"1 INGALLS DRIVE",HARVEY,IL,"60426",Cook,"42.06","79.06","87.36","76.13","73.0445","0 out of 10","0 out of 9","0 out of 10","41.99","79.91","88.10","77.86","78.0689","0 out of 10","0 out of 9","0 out of 10","33.89","65.77","81.00","59.96","55.8539","0 out of 10","0 out of 9","0 out of 10","6.53","51.87","63.32","47.38","46.3090","0 out of 10","0 out of 9","0 out of 10","33.19","63.83","74.75","60.09","60.4779","0 out of 10","0 out of 9","0 out of 10","30.60","65.61","79.58","60.57","58.1450","0 out of 10","0 out of 9","0 out of 10","66.94","87.38","92.17","85.45","83.0997","0 out of 10","0 out of 9","0 out of 10","34.70","71.80","85.67","64.15","60.1308","0 out of 10","0 out of 9","0 out of 10","0","13"
"2021","140200",ELMHURST MEMORIAL HOSPITAL,"155 EAST BRUSH HILL ROAD",ELMHURST,IL,"60126",DuPage,"42.06","79.06","87.36","81.42","82.5428","4 out of 10","1 out of 9","4 out of 10","41.99","79.91","88.10","81.71","81.0327","2 out of 10","0 out of 9","2 out of 10","33.89","65.77","81.00","64.32","68.2556","2 out of 10","2 out of 9","2 out of 10","6.53","51.87","63.32","52.14","55.6186","3 out of 10","3 out of 9","3 out of 10","33.19","63.83","74.75","61.78","63.3221","0 out of 10","1 out of 9","1 out of 10","30.60","65.61","79.58","69.33","70.8741","4 out of 10","1 out of 9","4 out of 10","66.94","87.38","92.17","87.15","87.1293","0 out of 10","0 out of 9","0 out of 10","34.70","71.80","85.67","77.63","79.3610","5 out of 10","2 out of 9","5 out of 10","21","19"
"2021","140202",ADVOCATE CONDELL MEDICAL CENTER,"801 S MILWAUKEE AVE",LIBERTYVILLE,IL,"60048",Lake,"42.06","79.06","87.36","78.97","78.4205","0 out of 10","0 out of 9","0 out of 10","41.99","79.91","88.10","79.08","74.5523","0 out of 10","0 out of 9","0 out of 10","33.89","65.77","81.00","62.56","62.1188","0 out of 10","0 out of 9","0 out of 10","6.53","51.87","63.32","51.78","50.0652","0 out of 10","0 out of 9","0 out of 10","33.19","63.83","74.75","63.31","62.2212","0 out of 10","0 out of 9","0 out of 10","30.60","65.61","79.58","69.15","66.9001","1 out of 10","0 out of 9","1 out of 10","66.94","87.38","92.17","88.74","87.9929","2 out of 10","0 out of 9","2 out of 10","34.70","71.80","85.67","73.45","68.6998","0 out of 10","0 out of 9","0 out of 10","3","17"
"2021","140206",NORWEGIAN-AMERICAN HOSPITAL,"1044 N FRANCISCO AVE",CHICAGO,IL,"60622",Cook,"42.06","79.06","87.36","68.35","71.9584","0 out of 10","1 out of 9","1 out of 10","41.99","79.91","88.10","75.19","74.3212","0 out of 10","0 out of 9","0 out of 10","33.89","65.77","81.00","53.70","61.4519","0 out of 10","2 out of 9","2 out of 10","6.53","51.87","63.32","33.26","37.8049","0 out of 10","1 out of 9","1 out of 10","33.19","63.83","74.75","55.75","59.2348","0 out of 10","1 out of 9","1 out of 10","30.60","65.61","79.58","55.81","61.8672","0 out of 10","2 out of 9","2 out of 10","66.94","87.38","92.17","81.43","81.9825","0 out of 10","0 out of 9","0 out of 10","34.70","71.80","85.67","55.88","57.1302","0 out of 10","0 out of 9","0 out of 10","7","12"
"2021","140208",ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,"4440 W 95TH STREET",OAK LAWN,IL,"60453",Cook,"42.06","79.06","87.36","80.37","81.9278","4 out of 10","2 out of 9","4 out of 10","41.99","79.91","88.10","77.73","77.5441","0 out of 10","0 out of 9","0 out of 10","33.89","65.77","81.00","66.74","67.1550","1 out of 10","0 out of 9","1 out of 10","6.53","51.87","63.32","52.23","48.9497","0 out of 10","0 out of 9","0 out of 10","33.19","63.83","74.75","61.59","59.4006","0 out of 10","0 out of 9","0 out of 10","30.60","65.61","79.58","59.80","58.5117","0 out of 10","0 out of 9","0 out of 10","66.94","87.38","92.17","87.11","89.5119","5 out of 10","4 out of 9","5 out of 10","34.70","71.80","85.67","70.35","67.2974","0 out of 10","0 out of 9","0 out of 10","10","15"
"2021","140209",METHODIST MEDICAL CENTER OF ILLINOIS,"221 N E GLEN OAK AVE",PEORIA,IL,"61636",Peoria,"42.06","79.06","87.36","82.95","81.5719","3 out of 10","0 out of 9","3 out of 10","41.99","79.91","88.10","80.05","77.8582","0 out of 10","0 out of 9","0 out of 10","33.89","65.77","81.00","64.73","63.4499","0 out of 10","0 out of 9","0 out of 10","6.53","51.87","63.32","54.30","54.3699","2 out of 10","0 out of 9","2 out of 10","33.19","63.83","74.75","63.20","64.9058","1 out of 10","1 out of 9","1 out of 10","30.60","65.61","79.58","67.25","63.3696","0 out of 10","0 out of 9","0 out of 10","66.94","87.38","92.17","88.69","88.1819","2 out of 10","0 out of 9","2 out of 10","34.70","71.80","85.67","76.13","73.0637","1 out of 10","0 out of 9","1 out of 10","9","18"
"2021","140210",HARRISBURG MEDICAL CENTER,"100 DOCTOR WARREN TUTTLE DR",HARRISBURG,IL,"62946",Saline,"42.06","79.06","87.36","79.41","81.3164","3 out of 10","2 out of 9","3 out of 10","41.99","79.91","88.10","83.79","81.0808","2 out of 10","0 out of 9","2 out of 10","33.89","65.77","81.00","74.55","73.6197","5 out of 10","0 out of 9","5 out of 10","6.53","51.87","63.32","59.15","43.5238","0 out of 10","0 out of 9","0 out of 10","33.19","63.83","74.75","62.94","60.5781","0 out of 10","0 out of 9","0 out of 10","30.60","65.61","79.58","72.05","64.4304","0 out of 10","0 out of 9","0 out of 10","66.94","87.38","92.17","86.83","90.6254","7 out of 10","7 out of 9","7 out of 10","34.70","71.80","85.67","62.62","64.8591","0 out of 10","0 out of 9","0 out of 10","17","16"
"2021","140211",DELNOR COMMUNITY HOSPITAL,"300 RANDALL RD",GENEVA,IL,"60134",Kane,"42.06","79.06","87.36","83.55","82.6122","4 out of 10","0 out of 9","4 out of 10","41.99","79.91","88.10","82.21","83.3393","4 out of 10","1 out of 9","4 out of 10","33.89","65.77","81.00","65.29","63.1649","0 out of 10","0 out of 9","0 out of 10","6.53","51.87","63.32","56.88","56.8141","4 out of 10","0 out of 9","4 out of 10","33.19","63.83","74.75","67.37","67.4662","3 out of 10","0 out of 9","3 out of 10","30.60","65.61","79.58","68.83","69.3038","3 out of 10","0 out of 9","3 out of 10","66.94","87.38","92.17","89.31","90.1600","6 out of 10","2 out of 9","6 out of 10","34.70","71.80","85.67","78.73","79.9327","6 out of 10","1 out of 9","6 out of 10","30","18"
"2021","140213",SILVER CROSS HOSPITAL  AND MEDICAL CENTERS,"1900 SILVER CROSS BLVD",NEW LENOX,IL,"60451",Will,"42.06","79.06","87.36","82.73","83.3688","5 out of 10","1 out of 9","5 out of 10","41.99","79.91","88.10","80.77","79.1164","0 out of 10","0 out of 9","0 out of 10","33.89","65.77","81.00","71.91","71.2087","4 out of 10","0 out of 9","4 out of 10","6.53","51.87","63.32","56.12","54.9628","3 out of 10","0 out of 9","3 out of 10","33.19","63.83","74.75","66.66","66.0927","2 out of 10","0 out of 9","2 out of 10","30.60","65.61","79.58","71.38","67.7760","2 out of 10","0 out of 9","2 out of 10","66.94","87.38","92.17","86.67","87.6964","1 out of 10","1 out of 9","1 out of 10","34.70","71.80","85.67","80.46","79.5172","6 out of 10","0 out of 9","6 out of 10","23","19"
"2021","140217",PRESENCE SAINT JOSEPH HOSPITAL - ELGIN,"77 N AIRLITE STREET",ELGIN,IL,"60123",Kane,"42.06","79.06","87.36","78.90","76.5892","0 out of 10","0 out of 9","0 out of 10","41.99","79.91","88.10","77.08","75.7862","0 out of 10","0 out of 9","0 out of 10","33.89","65.77","81.00","57.83","52.7451","0 out of 10","0 out of 9","0 out of 10","6.53","51.87","63.32","51.56","51.1380","0 out of 10","0 out of 9","0 out of 10","33.19","63.83","74.75","60.74","57.0202","0 out of 10","0 out of 9","0 out of 10","30.60","65.61","79.58","66.22","63.3570","0 out of 10","0 out of 9","0 out of 10","66.94","87.38","92.17","88.85","87.4477","1 out of 10","0 out of 9","1 out of 10","34.70","71.80","85.67","68.16","63.9316","0 out of 10","0 out of 9","0 out of 10","1","11"
"2021","140223",ADVOCATE LUTHERAN GENERAL HOSPITAL,"1775 DEMPSTER ST",PARK RIDGE,IL,"60068",Cook,"42.06","79.06","87.36","79.19","79.7694","1 out of 10","0 out of 9","1 out of 10","41.99","79.91","88.10","79.95","81.4019","2 out of 10","1 out of 9","2 out of 10","33.89","65.77","81.00","63.28","63.7825","0 out of 10","0 out of 9","0 out of 10","6.53","51.87","63.32","52.77","55.1451","3 out of 10","2 out of 9","3 out of 10","33.19","63.83","74.75","62.99","65.0490","2 out of 10","1 out of 9","2 out of 10","30.60","65.61","79.58","63.78","61.5200","0 out of 10","0 out of 9","0 out of 10","66.94","87.38","92.17","86.71","88.6719","3 out of 10","3 out of 9","3 out of 10","34.70","71.80","85.67","75.06","75.4133","3 out of 10","0 out of 9","3 out of 10","14","17"
"2021","140224",PRESENCE SAINT JOSEPH HOSPITAL - CHICAGO,"2900 NORTH LAKE SHORE DRIVE",CHICAGO,IL,"60657",Cook,"42.06","79.06","87.36","75.52","81.4736","3 out of 10","5 out of 9","5 out of 10","41.99","79.91","88.10","78.80","84.5623","6 out of 10","6 out of 9","6 out of 10","33.89","65.77","81.00","53.24","57.8515","0 out of 10","1 out of 9","1 out of 10","6.53","51.87","63.32","49.13","53.1765","2 out of 10","2 out of 9","2 out of 10","33.19","63.83","74.75","57.22","61.4324","0 out of 10","2 out of 9","2 out of 10","30.60","65.61","79.58","61.05","63.8206","0 out of 10","1 out of 9","1 out of 10","66.94","87.38","92.17","84.10","79.8739","0 out of 10","0 out of 9","0 out of 10","34.70","71.80","85.67","67.42","70.9192","0 out of 10","1 out of 9","1 out of 10","18","12"
"2021","140228",SWEDISH AMERICAN HOSPITAL,"1401 EAST STATE STREET",ROCKFORD,IL,"61104",Winnebago,"42.06","79.06","87.36","80.80","80.3028","2 out of 10","0 out of 9","2 out of 10","41.99","79.91","88.10","77.29","76.5334","0 out of 10","0 out of 9","0 out of 10","33.89","65.77","81.00","67.72","67.3979","1 out of 10","0 out of 9","1 out of 10","6.53","51.87","63.32","51.52","51.4187","0 out of 10","0 out of 9","0 out of 10","33.19","63.83","74.75","62.06","60.5456","0 out of 10","0 out of 9","0 out of 10","30.60","65.61","79.58","64.36","61.3738","0 out of 10","0 out of 9","0 out of 10","66.94","87.38","92.17","85.55","86.7860","0 out of 10","1 out of 9","1 out of 10","34.70","71.80","85.67","72.93","70.2103","0 out of 10","0 out of 9","0 out of 10","4","17"
"2021","140231",EDWARD HOSPITAL,"801 SOUTH WASHINGTON",NAPERVILLE,IL,"60540",DuPage,"42.06","79.06","87.36","80.59","81.2184","3 out of 10","0 out of 9","3 out of 10","41.99","79.91","88.10","80.40","81.1780","2 out of 10","1 out of 9","2 out of 10","33.89","65.77","81.00","65.75","66.8815","1 out of 10","0 out of 9","1 out of 10","6.53","51.87","63.32","55.08","55.7102","4 out of 10","0 out of 9","4 out of 10","33.19","63.83","74.75","62.47","66.3390","3 out of 10","3 out of 9","3 out of 10","30.60","65.61","79.58","64.17","65.8461","1 out of 10","1 out of 9","1 out of 10","66.94","87.38","92.17","85.53","86.5210","0 out of 10","1 out of 9","1 out of 10","34.70","71.80","85.67","76.07","76.2580","3 out of 10","0 out of 9","3 out of 10","18","19"
